kind,name,status,seed,lr,rank,alpha,modules,objective,batch,horizon_epochs,planned_stop_epoch,data_file,data_sha256,n_examples,trainable,start,gpu,script_sha256,last_saved_step,trainer_script,kl_coefficient,role,dev_trajectory
training,teacher_all_kl0_lr5e5_s43,complete,43,5e-05,16,16,qkvo,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/teacher_all.jsonl,7cd1daa1092fb5d30c136f9aae09c3bee43888f48f6766bb796af58cdfb9df6d,1547,4358144,1788985341.413071,1,22bb7f618589da710b0fce9d05737d3dfc2f213e4d5c2afa9d7195d55842733c,388,train_anchored.py,0.0,numerical_replay_control,e1:pending;e2:pending;e3:pending;e4:311
training,teacher_all_kl01_lr5e5_s43,complete,43,5e-05,16,16,qkvo,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/teacher_all.jsonl,7cd1daa1092fb5d30c136f9aae09c3bee43888f48f6766bb796af58cdfb9df6d,1547,4358144,1788985737.5227005,1,22bb7f618589da710b0fce9d05737d3dfc2f213e4d5c2afa9d7195d55842733c,388,train_anchored.py,0.1,experimental_training,e1:294;e2:301;e3:308;e4:301
training,teacher_all_kl1_lr5e5_s43,complete,43,5e-05,16,16,qkvo,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/teacher_all.jsonl,7cd1daa1092fb5d30c136f9aae09c3bee43888f48f6766bb796af58cdfb9df6d,1547,4358144,1788986278.6111379,1,22bb7f618589da710b0fce9d05737d3dfc2f213e4d5c2afa9d7195d55842733c,388,train_anchored.py,1.0,experimental_training,e1:297;e2:304;e3:292;e4:309
training,sample_keepgreedy_lr1e5_s43,complete,43,1e-05,16,16,qkvo,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/sample_keepgreedy.jsonl,3f2985cabf4751fd51e816ab3ee50ad2bb96246a4d092d71f98bd23f9b35d39a,1563,4358144,1788986817.773393,1,845579c65e6e037942a52f560eb79d0b910c4ca385cc78b69874dedac501c31c,392,train.py,0.0,experimental_training,e1:301;e2:296;e3:299;e4:297
training,teacher_keepgreedy_lr5e5_s43,complete,43,5e-05,16,16,qkvo,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/teacher_keepgreedy.jsonl,93d7f797cc89725e70b71600ba6bc9cf888e4498414a20d8e9b05ecb02adef40,1547,4358144,1788987225.7075095,1,845579c65e6e037942a52f560eb79d0b910c4ca385cc78b69874dedac501c31c,388,train.py,0.0,experimental_training,e1:pending;e2:pending;e3:pending;e4:296
training,greedy_lr5e5_s43,complete,43,5e-05,16,16,qkvo,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/previous_self.jsonl,26ac14fb792c112934a2e39c9f2b743145b7b4be82c1c8f991cfc056914050f3,1175,4358144,1788968769.9142232,1,d140ecb054f15891639744b7d05894a9cf94a7f3adc39d1524c7c6b36dfb83b3,296,train.py,0.0,experimental_training,e1:296;e2:298;e3:301;e4:294
training,greedy_lr1e4_s43,complete,43,0.0001,16,16,qkvo,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/previous_self.jsonl,26ac14fb792c112934a2e39c9f2b743145b7b4be82c1c8f991cfc056914050f3,1175,4358144,1788969036.5429935,1,d140ecb054f15891639744b7d05894a9cf94a7f3adc39d1524c7c6b36dfb83b3,296,train.py,0.0,experimental_training,e1:299;e2:280;e3:297;e4:282
training,greedy_example_lr1e5_s43,complete,43,1e-05,16,16,qkvo,example_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/previous_self.jsonl,26ac14fb792c112934a2e39c9f2b743145b7b4be82c1c8f991cfc056914050f3,1175,4358144,1788969305.615481,1,c638a7980a49c031e74bfa64e0166131ec90e5c0fca558730aa8ccb9aa6a86e1,296,train.py,0.0,experimental_training,e1:292;e2:298;e3:297;e4:304
training,sample_all_lr1e5_s43,complete,43,1e-05,16,16,qkvo,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/sample_all.jsonl,cd02dccbd429a822e3ccf78a019fc38286949aac0cd51a45fc61cf816085a1e0,1563,4358144,1788969591.817959,1,0f50dff505394083520f34e660b4f516c3941e9be5298887f96b0e03a0c7c592,392,train.py,0.0,experimental_training,e1:299;e2:307;e3:297;e4:288
training,sample_all_lr5e5_s43,complete,43,5e-05,16,16,qkvo,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/sample_all.jsonl,cd02dccbd429a822e3ccf78a019fc38286949aac0cd51a45fc61cf816085a1e0,1563,4358144,1788970003.390854,1,0f50dff505394083520f34e660b4f516c3941e9be5298887f96b0e03a0c7c592,392,train.py,0.0,experimental_training,e1:294;e2:288;e3:295;e4:290
training,sample_all_lr1e4_s43,complete,43,0.0001,16,16,qkvo,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/sample_all.jsonl,cd02dccbd429a822e3ccf78a019fc38286949aac0cd51a45fc61cf816085a1e0,1563,4358144,1788970430.1014395,1,0f50dff505394083520f34e660b4f516c3941e9be5298887f96b0e03a0c7c592,392,train.py,0.0,experimental_training,e1:299;e2:301;e3:287;e4:291
training,teacher_all_lr1e5_s43,complete,43,1e-05,16,16,qkvo,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/teacher_all.jsonl,7cd1daa1092fb5d30c136f9aae09c3bee43888f48f6766bb796af58cdfb9df6d,1547,4358144,1788970845.4366546,1,0f50dff505394083520f34e660b4f516c3941e9be5298887f96b0e03a0c7c592,388,train.py,0.0,experimental_training,e1:303;e2:303;e3:298;e4:293
training,teacher_all_lr5e5_s43,complete,43,5e-05,16,16,qkvo,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/teacher_all.jsonl,7cd1daa1092fb5d30c136f9aae09c3bee43888f48f6766bb796af58cdfb9df6d,1547,4358144,1788971259.3697164,1,0f50dff505394083520f34e660b4f516c3941e9be5298887f96b0e03a0c7c592,388,train.py,0.0,experimental_training,e1:300;e2:302;e3:304;e4:311
training,teacher_all_lr1e4_s43,complete,43,0.0001,16,16,qkvo,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/teacher_all.jsonl,7cd1daa1092fb5d30c136f9aae09c3bee43888f48f6766bb796af58cdfb9df6d,1547,4358144,1788971668.6625938,1,0f50dff505394083520f34e660b4f516c3941e9be5298887f96b0e03a0c7c592,388,train.py,0.0,experimental_training,e1:299;e2:303;e3:294;e4:298
training,sample_all_all16_lr1e5_s43,complete,43,1e-05,16,16,all,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/sample_all.jsonl,cd02dccbd429a822e3ccf78a019fc38286949aac0cd51a45fc61cf816085a1e0,1563,18464768,1788972066.886345,1,0f50dff505394083520f34e660b4f516c3941e9be5298887f96b0e03a0c7c592,392,train.py,0.0,experimental_training,e1:306;e2:303;e3:298;e4:297
